選奨年度,選奨年NO,対象構造物,読み,受賞理由,都道府県,市町村,都道府県2,市町村2,竣工年,北緯,東経,行った回数,行った日,プレートの有無,施設1,所在地1,竣工年1,施設2,所在地2,竣工年2,施設3,所在地3,竣工年3,施設4,所在地4,竣工年4,施設5,所在地5,竣工年5,施設6,所在地6,竣工年6,施設7,所在地7,竣工年7,施設8,所在地8,竣工年8,施設9,所在地9,竣工年9,施設10,所在地10,竣工年10,施設11,所在地11,竣工年11,施設12,所在地12,竣工年12,施設13,所在地13,竣工年13,施設14,所在地14,竣工年14,施設15,所在地15,竣工年15
2015,1,茨戸川の岡﨑式単床ブロック護岸,ばらとがわのおかざきしきたんしょうぶろっくごがん,茨戸川の岡﨑式単床ブロック護岸は「岡﨑文吉が考案・敷設し、その技術は北海道開発に貢献し、さらには海外にも継承され、国内に普及している連節護岸の礎となる施設」であります。,北海道,北海道/石狩市,,,1917(大正6)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,旧函館本線神居古潭トンネル群,きゅうはこだてほんせんかむいこたんとんねるぐん,旧函館本線神居古潭トンネル群は「北海道官設鉄道として建設され、わが国有数の膨張性岩盤地帯に挑み、逐次路線改良を重ねながら道内幹線鉄道輸送を支えた施設群」であります。,北海道,北海道/旭川市,,,1897(明治30)年、1928(昭和3)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,東秋留橋,ひがしあきるばし,東秋留橋は「橋長149.7m、6径間連続の鉄筋コンクリートアーチ橋であり、戦後の施工例は全国的に殆ど無く、戦前を代表する貴重な橋梁」であります。,東京都,東京都/あきる野市,,,1939(昭和14)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,4,大間港,おおまこう,大間港は「服部長七のたたき工法による護岸で築港され、RC橋脚、鋼トラス・台座などの施設とともに佐渡鉱山を下支えした貴重な土木遺産」であります。,新潟県,新潟県/佐渡市相川大間町,,,1892(明治25)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5,足利市近代水道施設群,あしかがしきんだいすいどうしせつぐん,足利市近代水道施設群は「生活衛生と工業化を支え市制施行後の都市づくりの基盤となった装飾性豊かな施設群で、近代化の様相を映し出す貴重な文化遺産」であります。,栃木県,栃木県/足利市,,,1930(昭和5)年 ＊1934年・1955年頃一部改築施設含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,6,元町・山手地区の震災復興施設群,もとまち・やまてちくのしんさいふっこうしせつぐん,元町・山手地区の震災復興施設群は「横浜の都市形成において重要な役割を担い、設計・意匠等最先端の土木技術が取り入れられ、歴史的構造物としても貴重な土木遺産」であります。,神奈川県,神奈川県/横浜市中区,,,1926(大正15)年～1928(昭和3)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,筑波山ケーブルカー,つくばさんけーぶるかー,筑波山ケーブルカーは「コンクリート覆工隧道や90度に方向転換する路線設定など大正期の最新技術を駆使し建設され、今尚、筑波山観光の重要な交通施設」であります。,茨城県,茨城県/つくば市,,,1925(大正14)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,8,旧上野鉄道鬼ヶ沢橋梁,きゅうこうずけてつどうおにがさわきょうりょう,旧上野鉄道鬼ヶ沢橋梁は「富岡製糸場等と縁のある鉄道施設で、軽便鉄道規格で明治30年当時の橋梁の現存例として希少な土木遺産」であります。,群馬県,群馬県/富岡市～下仁田町,,,1897(明治30)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9,飯沼水準原標石,いいぬますいじゅんんげんひょうせき,飯沼水準原標石は「オランダ人技師リンドにより設置され、日本水準原点の基となった本邦初の水準原標石で、近代測量の出発点となる重要な記念碑」であります。,千葉県,千葉県/銚子市,,,1872(明治5)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,10,南向発電所取水堰堤,みなかたはつでんしょしゅすいえんてい,南向発電所取水堰堤は「昭和初期に11km離れた水力発電所へ導水するために建設された、ローリングゲートと調和するゲートピアが個性的な堰堤」であります。,長野県,長野県/駒ケ根市中沢,,,1929(昭和4)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,11,庄内用水元杁樋門,しょうないようすいもといりひもん,庄内用水元圦樋門は「明治初期に用水と舟運のために開削された水路の取水施設で、明治末期に人造石工法で改築された貴重な樋門」であります。,愛知県,愛知県/名古屋市守山区瀬古,,,1910(明治43)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,12,蔵造川水路橋,ぞうぞうがわすいろきょう,蔵造川水路橋は「明治時代の鉄道建設に伴い建造された跨線水路橋で、現存する非常に貴重な煉瓦アーチ橋」であります。,長野県,長野県/塩尻市北小野,,,1906(明治39)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,13,由良川橋りょう,ゆらがわきょうりょう,由良川橋りょうは、「建設当時国内最多径間を誇るコンクリート橋脚の鈑桁橋梁であり、築後90年を経るも保存状態が極めて良好である貴重な土木遺産」であります。,京都府,京都府/舞鶴市・宮津市,,,1923(大正12)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,14,市原人道橋　／(旧 市原橋),いちはらじんどうきょう／(きゅう いちはらはし),市原人道橋／(旧　市原橋)は、「明治末期に架設された鉄骨コンクリートアーチ橋であり、国内に現存する鉄筋コンクリートアーチ橋の先駆けとして貴重な土木遺産」であります。,京都府,京都府/京都市左京区,,,1912(明治45)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,15,別所砂留,べっしょすなどめ,別所砂留は「福山藩による江戸時代の大小様々な形態の砂留が、一渓流に30基以上、良好な状態で現存している貴重な土木遺産」であります。,広島県,広島県/福山市,,,1764(宝暦14)年以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,16,百間川の治水施設群－一ノ荒手、二ノ荒手、米田の旧堤防、大水尾の旧堤,ひゃっけんがわのちすいしせつぐん－いちのあらて、にのあらて、よねだのきゅうていぼう、おおみおのきゅうてい,百間川の治水施設群は「分水部から河口部まで、旭川の放水路として江戸期に築造された百間川の一連の治水システムが現存している貴重な土木遺産」であります。,岡山県,岡山県/岡山市,,,1687(貞享4)年(一ノ荒手，二ノ荒手)、1687(貞享4)年以降(米田の旧堤防)、1692(元禄5)年以前(大水尾の旧堤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,17,三成ダム,みなりだむ,三成ダムは「わが国における最初期の本格的なアーチダム」であります。,島根県,島根県/奥出雲町,,,1954(昭和29)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,18,新川橋梁,しんかわきょうりょう,新川橋梁は「明治末期に架けられた鉄道橋で、将来の軌道の複線化を見込んだ階段状練石積み橋脚という、希少な特徴を持つ土木遺産」であります。,香川県,香川県/木田郡三木町平木～三木町鹿伏,,,1911(明治44)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,19,第一白川橋梁【撤去のため認定解除】,だいいちしらかわきょうりょう,第一白川橋梁は「阿蘇カルデラの出口立野に鉄道省最初期に建設され，当時鋼スパンドレルブレーストアーチの最大スパンであった166.3ｍの鉄道橋」であります．,熊本県,熊本県/南阿蘇村,,,1927(昭和2)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,20,立野橋梁,たてのきょうりょう,立野橋梁は「第一白川橋梁とともに鉄道省最初期に建設され，高さ34ｍの鋼トレッスル橋脚を３脚有する138.8ｍの鋼プレートガーダー橋」であります．,熊本県,熊本県/南阿蘇村,,,1924(大正13)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,21,五ヶ瀬川畳堤,ごかせがわたたみてい,畳堤は、長良川、揖保川と五ヶ瀬川にのみ現存する構造物で、特に「五ヶ瀬川に設置された畳堤は、大正末期から昭和初期に設置された我が国最古のもの」とされています。,宮崎県,宮崎県/延岡市川中,,,1920(大正末期)年頃から1934(昭和初期頃)年(昭和9年まで確認済み),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,旧網走線開業時の鉄道施設群,きゅうあばしりせんかいぎょうじのてつどうしせつぐん,明治期に建設され当時の鉄道技術を現在に伝えるとともに、北海道東部が鉄道とともに発展したことを後世に示す貴重な土木遺産である。,北海道,北海道陸別町、本別町,,,本別川橋梁　（1908（明治41）年架設),,,,,,本別川橋梁　（1908（明治41）年架設),,,陸別駅転車台　（1910（明治43）年設置),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,開拓使三角測量基線－勇払基線（勇払基点，鵡川基点），函館助基線（一本木基点，亀田基点）,かいたくしさんかくそくりょうきせん－ゆうふつきせん（ゆうふつきてん，むかわきてん），はこだてじょきせん（いっぽんぎきてん，かめだきてん）,正確な北海道地図作製のため欧米の近代測量技術で行われた三角測量基線の位置を示す遺産であり、わが国における基線測量の嚆矢である。,北海道,(1)勇払基線：北海道苫小牧市，北海道むかわ町，,,,1873年（明治6年） 、,,,,,,勇払基線,北海道苫小牧市，北海道むかわ町,1873年（明治6年）,函館助基線,北海道北斗市，北海道函館市,1875年（明治8年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3,磐越西線鉄道施設群,ばんえつさいせんてつどうしせつぐん,明治・大正期の多様な橋梁群、隧道、駅舎、転車台群を有し、さらに震災時の石油製品輸送などライフラインとして東北と関東を繋いだ貴重な土木遺産である。,福島県,,新潟県,,1904年(明治37年)～1922年(大正11年),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,4,四ツ谷用水,よつやようすい,広瀬川の河岸段丘の微地形を巧みに利用し自然流下の水路配置と地下水涵養を行い、杜の都仙台の水環境を支える近世より継承された貴重な土木遺産である。,宮城県,宮城県仙台市青葉区,,,1624年（寛永年間）から1703年（元禄年間）、1957（昭和32）年～1961（昭和36）年に補修,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,5,十三湖水戸口突堤,じゅうさんこみとぐちとってい,地域を苦しめた度重なる水戸口閉塞による浸水被害を解消し、岩木川の治水と津軽平野の発展の礎となった貴重な土木遺産である。,青森県,青森県五所川原市十三,,,1946（昭和21）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,6,鳴子ダム,なるこだむ,複雑なカルデラ地形の地に外国の技術者を招かずに日本の技術者だけで建設した我が国初の本格的100m級アーチ式コンクリ－トダムである。,宮城県,宮城県大崎市,,,1957（昭和32）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7,わたらせ渓谷鐵道関連施設群,わたらせけいこくてつどうかんれんしせつぐん,近代日本の産銅輸送の根幹を担った足尾鉄道草創期の息吹と情趣を伝える施設群で、地域コミュニティの要として継承される土木遺産である。,群馬県,群馬県みどり市、群馬県桐生市、栃木県日光市,,,1912（大正元）年～1930（昭和5）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,響　橋,ひびきばし,幻のオリンピックと呼ばれる第12回東京大会マラソン折返し地点に築造され、荘厳な橋梁デザインは当時の証左となる貴重な土木遺産である。,神奈川,神奈川県横浜市鶴見区,,,1941（昭和16）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,9,江連用水旧溝　　宮裏両樋,えづれようすいきゅうこうみやうらりょうひ,江戸期に開設された灌漑用水の分水施設で、明治期に煉瓦造りに改築され、地域の貴重な歴史的資産として維持管理されてきた施設である。,茨城県,茨城県下妻市本宗道,,,1900（明治33）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,10,南高橋,みなみたかばし,昭和7年に架けられた都内最古の鋼鉄トラスの道路橋であり、本体に明治時代の旧両国橋の一部が使用されている貴重な土木遺産である。,東京都,東京都中央区,,,1932（昭和7）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,信濃川 千手水力発電所施設群,しなのがわ せんじゅすいりょくはつでんしょしせつぐん,鉄道網の電化を目的として昭和初期に建造され、現在も鉄道輸送を支える施設群である。,新潟県,新潟県十日町市,,,1938（昭和13）年～1954（昭和29）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,小山樋門,こやまひもん,明治３１年に建設された３連アーチの煉瓦造水門で、千葉県内で現存する煉瓦造水門の中で最も古く、歴史的価値のある構造物である。,千葉県,千葉県松戸市,,,1898（明治31）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,13,湘南港,しょうなんこう,第18回オリンピック東京大会において築造され、市民に開かれた海洋文化の発展に大きく寄与し、五輪とともに歩む貴重な土木遺産である。,神奈川,神奈川県藤沢市,,,1964（昭和39）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,14,榎戸新田橋りょう,えのきどしんでんきょうりょう,明治初年から進められた新開地への鉄道の開設に伴い建造された県下最初期の煉瓦造アーチ橋で、地域開発の記念碑となる土木遺産である。,千葉県,千葉県八街市,,,1897（明治30）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,15,向野橋,こうやばし,明治期に京都保津峡に架けられた当時最大スパンの典型的米国製トラス橋が、昭和初期に跨線橋として移設転用された希少な土木遺産である。,愛知県,愛知県名古屋市中村区，中川区,,,1930（昭和5）年／本体は1899（明治32）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,16,名古屋港跳上橋,なごやこうはねあげばし,昭和初期に名古屋港内に設けられた鉄道可動橋で、日本に現存する数少ない近代跳開橋の１つである。,愛知県,愛知県名古屋市港区,,,1927（昭和2）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,17,宮川堤,みやがわつつみ,近世に伊勢の地を守るため築かれた宮川下流右岸の堤防で、本堤と刎出しと堤外植樹等で構成された現代にも治水上機能する土木遺産である。,三重県,三重県伊勢市中島,,,17世紀～18世紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18,三重高等農林學校農場の給水井戸,みえこうとうのうりんがっこうのうじょうのきゅうすいいど,三重大学農学部の前身である三重高等農林學校の設立後に農場の土地改良のために教官と学生が協力して整備した灌漑施設である。,三重県,三重県津市栗真町屋町,,,1924（大正13）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,19,百寿橋,ひゃくじゅばし,地元住民の寄付を受け、郡山城中堀に架けられたRC橋で、特徴的な高欄等をもち、域内道路として活用されている貴重な土木遺産である。,奈良県,奈良県大和郡山市,,,1936（昭和11）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20,旧国鉄五新線（未成線）鉄道構造物群,きゅうこくてつごしんせん（みせいせん）てつどうこうぞうぶつぐん,紀伊山地を鉄道で貫く大構想に駈けた先人の志を未来に語り継ぎ、沿線住民にも親しまれている貴重な土木遺産である。,奈良県,奈良県五條市,,,1959（昭和34）年（五条～城戸間）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,21,火ノ山砲台,ひのやまほうだい,関門海峡防備のために明治期に築造された下関要塞のうちの一つで、現在でもその姿を留めている貴重な土木遺産である。,山口県,山口県下関市,,,1891（明治24）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,22,宮内川青石護岸,みやうちがわあおいしごがん,伊予の青石を石材とした矢羽根積の護岸であり、青石が織りなす綾が美しい土木遺産である。,愛媛県,愛媛県八幡浜市保内町川之石,,,昭和前期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,23,佐井川橋,さいがわばし,大正期に建設された初期の鉄筋コンクリート桁橋であり、本格的な井桁状の橋脚や円形模様の高欄を有する貴重な地域の土木遺産である。,福岡県,福岡県築上郡吉富町直江,,,1920（大正9）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,24,姶良橋,あいらばし,昭和初期に建設された橋長150ｍを超える鉄筋コンクリート桁橋であり、珍しい紋様の閉塞高欄を有する貴重な地域の土木遺産である。,鹿児島県,鹿児島県姶良市,,,1932（昭和7）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,滝の上発電所施設群,たきのうえはつでんしょしせつぐん,石炭産業の電力化と高圧送電に応え、落差のある岩盤に竪坑を設けた落水方式を採用し、改修を経て地域に貢献し続ける水力発電所である。,北海道,北海道夕張市,,,1925（大正14）年（平成28年改修）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,網走橋,あばしりばし,街の発展に伴い橋の機能と景観を保った拡幅がなされ、八十年以上に渡り国道橋として活躍する、北海道内現存最古のゲルバー鈑桁橋である。,北海道,北海道網走市,,,1934（昭和9）年（昭和49年改修）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,聖橋,ひじりばし,関東大震災の復興橋梁として、土木と建築各々の大家となった山田守と成瀬勝武の設計により建設された鉄骨コンクリートアーチ橋である。,千代田区,千代田区～文京区,,,1927年(昭和2年3月),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,京浜港ドック,けいひこうどっく,ドライドックとしての希少性の他、製作ケーソン数は同方式で国内最大であり、近代横浜港の整備に大きく貢献した土木遺産である。,横浜市,横浜市,,,1926(大正15)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,ＪＲ上越線清水トンネル関連施設群,じぇいあーるじょうえつせんしみずとんねるかんれんしせつぐん,トンネル掘削技術の進歩と貴重なループ線を今に伝え、谷川連峰を貫通して首都圏と日本海側を最短距離で結ぶ貴重な土木遺産である。,群馬県,群馬県みなかみ町～新潟県湯沢町,,,1931（昭和6）年：清水トンネル等　1967（昭和42）年：新清水トンネル等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,万内川砂防堰堤群・日影沢床固工群,ばんないがわさぼうえんていぐん・ひかげざわとこがためこうぐん,現地産の石を極めて精巧に組んで作られた石積構造の堰堤であり、周囲の自然と調和した美しさを持つ貴重な土木遺産である。,新潟県,新潟県妙高市,,,1921（大正10）～1934（昭和9）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,7,亀甲橋,きこうばし,昭和8年に架橋された県内では珍しい3連の下路式アーチ鋼橋であり、秩父往還の要所として地域で親しまれてきた土木遺産である。,山梨県,山梨県山梨市,,,1933（昭和8）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,東武鉄道渡良瀬川橋梁・砥川橋梁,とうぶてつどうわたらせがわきょうりょう・とがわきょうりょう,英国製から米国製への移行期以降の輸入トラス2橋で、細身の鋼材の繊細さと煉瓦および石積による橋脚が歴史的風格を醸す土木遺産である。,栃木県,栃木県，群馬県,,,渡良瀬川橋梁：1914（大正3）年頃　砥川橋梁：1896（明治29）年製、1946（昭和21）年転用　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,里川水系水力発電所群,さとがわすいけいすいりょくはつでんしょぐん,茨城県で最初に電源開発された水系にかかる発電所群で地域の近代化に貢献すると共に当時の建設技術を今に伝える貴重な土木遺産である。,茨城県,茨城県常陸太田市、日立市,,,1908（明治41）年～1926（大正15）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,玉川橋,たまがわばし,大正１０年に完成した清流・都幾川に架る埼玉県最初のＲＣアーチ橋であり、景観上も優れた貴重な土木遺産である。　,埼玉県,埼玉県ときがわ町,,,"1921（大正10）年竣工, 1987(昭和62)年度高欄改装。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,緑橋防潮水門,みどりばしぼうちょうすいもん,熊野灘に注ぐ市木川の河口部分に建設された防潮堤と橋を兼ねた、石材と煉瓦による構造物で、高潮被害から地域を守り続けた施設である。,三重県,三重県南牟婁郡,,,1918（大正7）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,駿府御囲堤（薩摩土手）,すんぷおかこいづつみ(さつまどて),徳川家康による駿府城拡張工事に伴い，駿府の町を安倍川の洪水から守るために設置され、今でも洪水防御機能を有した貴重な御囲堤である。,静岡市,静岡市,,,1600（慶長年間）年頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,13,往生地浄水場,おうじょうじじょうすいじょう,長野市の水道創設事業で建設された市内最古の浄水場であり、後の水道普及に大きく貢献し、建設後100年経った今も稼働する施設である。,長野市,長野市,,,1915（大正4）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,14,樫野埼灯台,かしのざきとうだい,英国技師ブラントンによる石造洋式灯台であり、地元古座川産の宇津木石を用いたわが国初の回転式洋式灯台である。,和歌山,和歌山県東牟婁郡,,,1870（明治３）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,15,奈良市水道関連施設群,ならしすいどうかんれんしせつぐん,意匠的特長に富む高地区配水池，奈良阪計量器室などいずれも創設時の姿を残し、一部は店舗に転用され現存する貴重な水道遺産群である。,奈良県,奈良県奈良市、京都府木津川市,,,1922(大正11)年　市坂ポンプ所のみ1957（昭和32）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,16,鵬雲洞・毛見隧道,ほううんどう・けみずいどう,交通の難所、船尾山を貫通すべくそれぞれ路面電車軌道及び県道の一部として開削され、紀州青石を用いた秀逸な意匠をもつ土木遺産である。,和歌山市,和歌山市,,,鵬雲洞：1911（明治44）年　毛見隧道：1925（ 大正14）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,17,前河原橋りょう,まえがわらきょうりょう,独自規格の煉瓦によって構築され、スプリングラインに石材の挿入された特徴的構造をもつ歴史的鉄道橋である。,滋賀県,滋賀県米原市,,,1889（明治22）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,18,竹野川橋りょう・田君川橋りょう,たけのがわきょうりょう・たぎみがわきょうりょう,国内で３連現存するラチス桁のうちの２連であり、架設当時の橋梁工事事情を現代に伝える貴重な土木遺産である。,兵庫県,兵庫県豊岡市，兵庫県美方郡,,,竹野川橋りょう：1911（明治44）年（ラチス桁部分は1920（大正9)年）　田君川橋りょう：1912（明治45)年（ラチス桁部分は1922（大正11)年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,19,大阪京都間鉄道煉瓦拱渠群,おおさかきょうとかんてつどうれんがこうきょぐん,本区間内（明治10年全通）に設けられた煉瓦造の鉄道橋及び隧道群であり、欠円アーチやねじりまんぽなどの特徴をもつ土木遺産群である。,京都府,京都府，大阪府,,,1875（明治8）年（樋口・円妙寺・馬場丁川暗渠，後藤川避溢橋，藪ヶ花跨道橋）　1876（明治9）年（尻戸三避溢橋，門ノ前跨道橋，奥田ノ端暗渠，七反田・老ヶ辻拱渠）　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,20,金慶橋,きんけいばし,戦後の有料道路に架設された道路橋であり、構造用強度材としてアルミニウム合金が使用された貴重な土木遺産である。,神戸市北区,神戸市北区,,,1961（昭和36）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,21,山陰道の石畳―駟馳山峠、蒲生峠,さんいんどうのいしだたみ,通行が困難であった峠道を改良するために施された石畳で、当時の様子が偲ばれる」土木遺産である。,鳥取県,鳥取県岩美町,,,1812（文化9）年【駟馳山峠】，　1892（明治25）年以前【蒲生峠】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,22,府能隧道,ふのうずいどう,佐那河内村・神山町と徳島市との物流・交流を支えてきた現役の隧道で，煉瓦積みと飾り石など丁寧な意匠が施された貴重な土木遺産である。,徳島県,徳島県名東郡，神山町長崎市,,,1923（大正12）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,23,中島川変流部護岸,なかしまがわへんりゅうぶごがん,当時の我が国3番目の大規模港湾事業である第1次長崎港改修事業の唯一の遺構であり、その設計や調査には、デ・レーケが携わるなど、歴史的にも貴重な土木遺産である。,長崎県,長崎県長崎市,,,1889(明治22年)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,山線鉄橋,やませんてっきょう,山線鉄橋は、千歳市支笏湖温泉地区の千歳川に移設された英国製の200フィートピン構造ダブルワーレントラス橋で、道内現存最古の明治期の鋼橋 です。,北海道,北海道千歳市支笏湖温泉,,,1899(明治32)年、(1924(大正13)年移設),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,苫小牧港大規模掘込港湾施設,とまこまいこうだいきぼほりこみこうわんしせつ,苫小牧港大規模掘込港湾施設は、漂砂対策に基づく防波堤と長大な水路からなる世界初の掘込式港湾を砂浜と原野に築き、新たな臨海工業地帯の開発を実現した施設です。,北海道,北海道苫小牧市,,,1963(昭和38)年,,,,,,西防波堤,苫小牧市,1964(昭和39)年度,西防波堤,苫小牧市,1964(昭和39)年度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,油壺験潮場旧建屋,あぶらつぼけんちょうじょうきゅうたてや,油壺験潮場旧建屋は我が国の初期の測量技術を今に伝え、日本の標高の基準である「日本水準点」の管理に重要な役割を果たしてきた貴重な土木遺産です。,神奈川県,神奈川県三浦市,,,1894(明治27)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
